lat,lon,period,zone
32.76571618,35.76373937,Early Pliocene Basalt,1
32.76833579,35.76681306,Early Pliocene Basalt,1
32.76965263,35.76863291,Early Pliocene Basalt,1
32.77173629,35.76998597,Early Pliocene Basalt,1
32.77329951,35.77124676,Early Pliocene Basalt,1
32.77581484,35.77320396,Early Pliocene Basalt,1
32.77745994,35.77394715,Early Pliocene Basalt,1
32.77974373,35.77538189,Early Pliocene Basalt,1
32.78477383,35.77845725,Early Pliocene Basalt,1
32.78657285,35.77759792,Early Pliocene Basalt,1
32.78795011,35.77669006,Early Pliocene Basalt,1
32.79015798,35.77588529,Early Pliocene Basalt,1
32.79063581,35.7754075,Early Pliocene Basalt,1
32.7944856,35.77480823,Early Pliocene Basalt,1
32.79576124,35.77442642,Early Pliocene Basalt,1
32.79807463,35.77413747,Early Pliocene Basalt,1
32.80018176,35.77441114,Early Pliocene Basalt,1
32.80186937,35.77571772,Early Pliocene Basalt,1
32.80211265,35.77789036,Early Pliocene Basalt,1
32.80196349,35.77947405,Early Pliocene Basalt,1
32.80081077,35.78198309,Early Pliocene Basalt,1
32.79790152,35.78480029,Early Pliocene Basalt,1
32.79600504,35.78670097,Early Pliocene Basalt,1
32.79421329,35.7875505,Early Pliocene Basalt,1
32.79289434,35.78792487,Early Pliocene Basalt,1
32.79061991,35.78925413,Early Pliocene Basalt,1
32.78743777,35.79101429,Early Pliocene Basalt,1
32.78641381,35.79249359,Early Pliocene Basalt,1
32.78539953,35.79454287,Early Pliocene Basalt,1
32.78963877,35.80117075,Early Pliocene Basalt,1
32.79344898,35.80477014,Early Pliocene Basalt,1
32.79356404,35.80506389,Early Pliocene Basalt,1
32.79437312,35.8057433,Early Pliocene Basalt,1
32.79466608,35.80710405,Early Pliocene Basalt,1
32.79559393,35.80847892,Early Pliocene Basalt,1
32.79742862,35.80996208,Early Pliocene Basalt,1
32.79810805,35.81078139,Early Pliocene Basalt,1
32.79918348,35.81166452,Early Pliocene Basalt,1
32.80002588,35.81252368,Early Pliocene Basalt,1
32.80107614,35.813415,Early Pliocene Basalt,1
32.80212997,35.81430939,Early Pliocene Basalt,1
32.80255296,35.81461788,Early Pliocene Basalt,1
32.80324576,35.81495697,Early Pliocene Basalt,1
32.80411146,35.81584964,Early Pliocene Basalt,1
32.80520342,35.81703669,Early Pliocene Basalt,1
32.80548015,35.81808625,Early Pliocene Basalt,1
32.80644634,35.81922716,Early Pliocene Basalt,1
32.80701549,35.82056558,Early Pliocene Basalt,1
32.80743347,35.82214003,Early Pliocene Basalt,1
32.8077546,35.82345106,Early Pliocene Basalt,1
32.80835387,35.82506107,Early Pliocene Basalt,1
32.80858491,35.82586191,Early Pliocene Basalt,1
32.80883309,35.82718372,Early Pliocene Basalt,1
32.80929976,35.82880303,Early Pliocene Basalt,1
32.80954295,35.82987928,Early Pliocene Basalt,1
32.81023374,35.83181077,Early Pliocene Basalt,1
32.81130287,35.83248436,Early Pliocene Basalt,1
32.81250528,35.83368729,Early Pliocene Basalt,1
32.81338473,35.83456024,Early Pliocene Basalt,1
32.8149514,35.83627785,Early Pliocene Basalt,1
32.81569617,35.83688212,Early Pliocene Basalt,1
32.81660469,35.8377593,Early Pliocene Basalt,1
32.81695543,35.83805264,Early Pliocene Basalt,1
32.81793297,35.83890262,Early Pliocene Basalt,1
32.81839296,35.83923691,Early Pliocene Basalt,1
32.81920085,35.83960227,Early Pliocene Basalt,1
32.81997131,35.84021387,Early Pliocene Basalt,1
32.82071101,35.84081293,Early Pliocene Basalt,1
32.822151,35.84193703,Early Pliocene Basalt,1
32.8231005,35.84267833,Early Pliocene Basalt,1
32.82464075,35.84401897,Early Pliocene Basalt,1
32.82639644,35.84454394,Early Pliocene Basalt,1
32.82761952,35.84496404,Early Pliocene Basalt,1
32.82817832,35.84502042,Early Pliocene Basalt,1
32.82930315,35.84513727,Early Pliocene Basalt,1
32.83052927,35.84588009,Early Pliocene Basalt,1
32.83222471,35.84611607,Early Pliocene Basalt,1
32.83380391,35.84700454,Early Pliocene Basalt,1
32.83520582,35.84749793,Early Pliocene Basalt,1
32.8358428,35.84779276,Early Pliocene Basalt,1
32.83760939,35.84811178,Early Pliocene Basalt,1
32.83901237,35.84854773,Early Pliocene Basalt,1
32.8403574,35.84896034,Early Pliocene Basalt,1
32.84122474,35.84891793,Early Pliocene Basalt,1
32.84198653,35.84889302,Early Pliocene Basalt,1
32.8437891,35.84906757,Early Pliocene Basalt,1
32.84485467,35.84911607,Early Pliocene Basalt,1
32.84673861,35.84937863,Early Pliocene Basalt,1
32.848204,35.84958287,Early Pliocene Basalt,1
32.84946772,35.84976073,Early Pliocene Basalt,1
32.85073407,35.85019878,Early Pliocene Basalt,1
32.85176218,35.85085614,Early Pliocene Basalt,1
32.8526008,35.85123259,Early Pliocene Basalt,1
32.85403681,35.85220402,Early Pliocene Basalt,1
32.85458175,35.8532986,Early Pliocene Basalt,1
32.8544773,35.85429759,Early Pliocene Basalt,1
32.85432063,35.85579585,Early Pliocene Basalt,1
32.85416398,35.85729383,Early Pliocene Basalt,1
32.85323584,35.85792069,Early Pliocene Basalt,1
32.85278099,35.85836875,Early Pliocene Basalt,1
32.85139751,35.85944323,Early Pliocene Basalt,1
32.85055516,35.85932437,Early Pliocene Basalt,1
32.84932264,35.85942255,Early Pliocene Basalt,1
32.84862386,35.8594437,Early Pliocene Basalt,1
32.84758127,35.85951961,Early Pliocene Basalt,1
32.84728519,35.85952257,Early Pliocene Basalt,1
32.84640922,35.85927338,Early Pliocene Basalt,1
32.84316497,35.85793738,Early Pliocene Basalt,1
32.84184248,35.85746675,Early Pliocene Basalt,1
32.84058343,35.85702724,Early Pliocene Basalt,1
32.83956622,35.85637215,Early Pliocene Basalt,1
32.83852282,35.85596519,Early Pliocene Basalt,1
32.83702235,35.85574089,Early Pliocene Basalt,1
32.83551707,35.85551355,Early Pliocene Basalt,1
32.8345788,35.85612633,Early Pliocene Basalt,1
32.83404222,35.85704999,Early Pliocene Basalt,1
32.83353319,35.85772635,Early Pliocene Basalt,1
32.83292358,35.8593936,Early Pliocene Basalt,1
32.83217119,35.86054392,Early Pliocene Basalt,1
32.83170041,35.86097861,Early Pliocene Basalt,1
32.83076372,35.8615874,Early Pliocene Basalt,1
32.82962537,35.86190657,Early Pliocene Basalt,1
32.82897657,35.86180314,Early Pliocene Basalt,1
32.82792813,35.86165152,Early Pliocene Basalt,1
32.82672862,35.86150721,Early Pliocene Basalt,1
32.82604159,35.86069282,Early Pliocene Basalt,1
32.82571556,35.86016459,Early Pliocene Basalt,1
32.82507927,35.85858897,Early Pliocene Basalt,1
32.8246966,35.85759629,Early Pliocene Basalt,1
32.82459301,35.85710321,Early Pliocene Basalt,1
32.82422857,35.8555883,Early Pliocene Basalt,1
32.82381904,35.85404334,Early Pliocene Basalt,1
